date,mtm,option symbol
2021-02-01,0.0,SPX   210319C03815000+SPX   210319C03850000
2021-02-02,-3.90000000000002,SPX   210319C03815000+SPX   210319C03850000
2021-02-03,-3.950000000000003,SPX   210319C03815000+SPX   210319C03850000
2021-02-04,-5.8500000000000085,SPX   210319C03815000+SPX   210319C03850000
2021-02-05,-6.950000000000003,SPX   210319C03815000+SPX   210319C03850000
2021-02-08,-8.550000000000026,SPX   210319C03815000+SPX   210319C03850000
2021-02-09,-8.350000000000009,SPX   210319C03815000+SPX   210319C03850000
2021-02-10,-8.200000000000031,SPX   210319C03815000+SPX   210319C03850000
2021-02-11,-8.500000000000014,SPX   210319C03815000+SPX   210319C03850000
2021-02-12,-9.850000000000009,SPX   210319C03815000+SPX   210319C03850000
2021-02-16,-9.600000000000009,SPX   210319C03815000+SPX   210319C03850000
2021-02-17,-9.90000000000002,SPX   210319C03815000+SPX   210319C03850000
2021-02-18,-8.999999999999986,SPX   210319C03815000+SPX   210319C03850000
2021-02-19,-8.75,SPX   210319C03815000+SPX   210319C03850000
2021-02-22,-7.299999999999997,SPX   210319C03815000+SPX   210319C03850000
2021-02-23,-7.3500000000000085,SPX   210319C03815000+SPX   210319C03850000
2021-02-24,-10.649999999999991,SPX   210319C03815000+SPX   210319C03850000
2021-02-25,-4.400000000000006,SPX   210319C03815000+SPX   210319C03850000
2021-02-26,-2.500000000000014,SPX   210319C03815000+SPX   210319C03850000
2021-03-01,-9.75,SPX   210319C03815000+SPX   210319C03850000
2021-03-02,-7.299999999999997,SPX   210319C03815000+SPX   210319C03850000
2021-03-03,-2.5500000000000114,SPX   210319C03815000+SPX   210319C03850000
2021-03-04,0.9999999999999858,SPX   210319C03815000+SPX   210319C03850000
2021-03-05,-4.450000000000017,SPX   210319C03815000+SPX   210319C03850000
2021-03-08,-3.3000000000000043,SPX   210319C03815000+SPX   210319C03850000
2021-03-09,-6.90000000000002,SPX   210319C03815000+SPX   210319C03850000
2021-03-10,-10.300000000000026,SPX   210319C03815000+SPX   210319C03850000
2021-03-11,-12.90000000000002,SPX   210319C03815000+SPX   210319C03850000
2021-03-12,-14.000000000000014,SPX   210319C03815000+SPX   210319C03850000
2021-03-15,-15.600000000000009,SPX   210319C03815000+SPX   210319C03850000
2021-03-16,-16.15000000000002,SPX   210319C03815000+SPX   210319C03850000
2021-03-17,-16.80000000000001,SPX   210319C03815000+SPX   210319C03850000
2021-03-18,-16.400000000000006,SPX   210319C03815000+SPX   210319C03850000
2021-03-19,-17.10000000000001,SPX   210319C03815000+SPX   210319C03850000
