date,mtm,option symbol
2021-02-01,0.0,SPX   210319C03815000
2021-02-02,-23.85000000000001,SPX   210319C03815000
2021-02-03,-18.64999999999999,SPX   210319C03815000
2021-02-04,-38.2,SPX   210319C03815000
2021-02-05,-45.95,SPX   210319C03815000
2021-02-08,-61.550000000000026,SPX   210319C03815000
2021-02-09,-61.250000000000014,SPX   210319C03815000
2021-02-10,-60.500000000000014,SPX   210319C03815000
2021-02-11,-57.45,SPX   210319C03815000
2021-02-12,-72.2,SPX   210319C03815000
2021-02-16,-63.7,SPX   210319C03815000
2021-02-17,-61.500000000000014,SPX   210319C03815000
2021-02-18,-51.14999999999999,SPX   210319C03815000
2021-02-19,-39.89999999999999,SPX   210319C03815000
2021-02-22,-22.450000000000003,SPX   210319C03815000
2021-02-23,-20.5,SPX   210319C03815000
2021-02-24,-52.64999999999999,SPX   210319C03815000
2021-02-25,-4.200000000000003,SPX   210319C03815000
2021-02-26,15.799999999999997,SPX   210319C03815000
2021-03-01,-29.25,SPX   210319C03815000
2021-03-02,-10.299999999999997,SPX   210319C03815000
2021-03-03,22.14999999999999,SPX   210319C03815000
2021-03-04,43.349999999999994,SPX   210319C03815000
2021-03-05,16.39999999999999,SPX   210319C03815000
2021-03-08,25.25,SPX   210319C03815000
2021-03-09,2.499999999999986,SPX   210319C03815000
2021-03-10,-16.250000000000014,SPX   210319C03815000
2021-03-11,-39.250000000000014,SPX   210319C03815000
2021-03-12,-41.250000000000014,SPX   210319C03815000
2021-03-15,-60.3,SPX   210319C03815000
2021-03-16,-61.35000000000001,SPX   210319C03815000
2021-03-17,-68.10000000000001,SPX   210319C03815000
2021-03-18,-15.0,SPX   210319C03815000
2021-03-19,-5.299999999999912,SPX   210319C03815000
